,0
1440,group_935
1441,group_2735
1442,group_2848
1443,group_2293
1444,group_2787
1445,group_3118
1446,group_2803
1447,group_3044
1448,topB
1449,group_1639
1450,group_2284
1451,group_2904
1452,group_3001
1453,group_3360
1454,group_2435
1455,group_3114
1456,group_3120
1457,group_3636
1458,group_2322
1459,group_3045
1460,group_3004
1461,parA_2
1462,group_2299
1463,group_2903
1464,group_3637
1465,group_2272
1466,group_2389
1467,group_2734
1468,group_3121
1469,group_3465
1470,group_1848
1471,dpnC
1472,group_2303
1473,group_3744
1474,group_3643
1475,group_2905
1476,group_2276
1477,group_2474
1478,group_2275
1479,group_620
1480,group_3361
1481,group_2305
1482,group_2947
1483,group_3645
1484,group_3757
1485,group_3743
1486,group_2901
1487,group_2285
1488,group_3131
1489,group_2945
1490,group_2351
1491,group_2373
1492,traC
1493,traH
1494,group_2251
1495,group_3648
1496,group_3026
1497,group_3363
1498,group_2707
1499,group_2855
1500,group_2680
1501,group_649
1502,group_1693
1503,group_2359
1504,group_3742
1505,group_2362
1506,group_2935
1507,group_3232
1508,group_3649
1509,group_2304
1510,group_3675
1511,group_2856
1512,group_1849
1513,group_204
1514,prlF
1515,group_2606
1516,group_2378
1517,group_3647
1518,group_2716
1519,group_3015
1520,group_2385
1521,group_1617
1522,group_2988
1523,group_3673
1524,epsD
1525,group_3646
1526,group_2607
1527,group_2250
1528,group_2854
1529,group_3255
1530,group_2987
1531,group_2371
1532,group_1846
1533,group_1188
1534,group_1862
1535,group_2717
1536,group_2381
1537,group_3674
1538,group_1444
1539,group_2286
1540,group_2986
1541,group_2367
1542,group_2790
1543,group_2601
1544,group_1571
1545,group_2392
1546,group_3484
1547,group_3479
1548,group_3672
1549,group_2328
1550,prtR
1551,group_2369
1552,group_988
1553,group_3478
1554,group_3501
1555,group_756
1556,group_2324
1557,group_1464
1558,group_2912
1559,group_2374
1560,group_3529
1561,mutL_2
1562,group_2728
1563,group_3750
1564,group_2376
1565,group_3353
1566,group_3476
1567,group_2255
1568,group_3498
1569,group_2258
1570,group_1181
1571,group_3497
1572,group_1844
1573,group_1851
1574,group_3354
1575,group_2259
1576,group_1192
1577,group_250
1578,group_1628
1579,group_350
1580,group_3475
1581,group_2457
1582,group_1786
1583,group_1668
1584,group_2809
1585,group_2438
1586,group_2397
1587,group_3351
1588,group_2355
1589,group_2969
1590,group_758
1591,group_1850
1592,group_2326
1593,group_2375
1594,group_3395
1595,group_1183
1596,group_3356
1597,group_2379
1598,group_2352
1599,group_3355
1600,group_1336
1601,group_2824
1602,group_2398
1603,group_2572
1604,group_2967
1605,group_2298
1606,group_3060
1607,group_3188
1608,group_2345
1609,group_609
1610,group_3352
